tyre_id,brand,model,tyre_size,width_mm,aspect_ratio,rim_inch,season_type,tyre_segment,vehicle_type,vehicle_weight_kg,drive_type,wheel_position,country,region,city,latitude,longitude,climate_zone,road_type,measurement_date,season_of_year,mileage_km,td_initial_mm,td_current_mm,td_inner_mm,td_center_mm,td_outer_mm,wear_mm,wear_rate_mm_10000km,predicted_life_km,remaining_life_km,fuel_efficiency_class,wet_grip_class,noise_db,rolling_resistance,price_eur,cost_per_1000km,risk_class,cluster_id
TYR00001,Michelin,MIC-Eco-323,225/45 R17,225,45,17,summer,premium,family,1323.0,fwd,front_left,Spain,Southern Europe,Madrid,40.4463,-3.78051,mediterranean,rural,2019-12-23,winter,12609.0,8.54,7.7,7.46,7.76,7.69,0.84,0.667,104068.0,91459.0,C,A,72.1,5.71,320.97,3.08,low,0
TYR00002,Michelin,MIC-Grip-814,255/40 R19,255,40,19,summer,premium,fleet,1882.0,rwd,front_right,France,Western Europe,Lyon,45.81328,4.92602,temperate,mountain,2025-08-10,summer,23927.0,7.53,5.79,5.69,5.83,5.45,1.74,0.727,81575.0,57648.0,B,D,72.3,6.27,331.36,4.06,low,0
TYR00003,Hankook,HAN-Sport-370,225/45 R17,225,45,17,summer,mid-range,family,1357.0,rwd,front_left,Sweden,Northern Europe,Stockholm,59.21273,18.04303,cold,urban,2023-04-06,spring,33335.0,8.57,5.52,5.33,5.54,5.41,3.05,0.915,76194.0,42859.0,A,D,74.1,7.63,232.65,3.05,low,0
TYR00004,BudgetRoad,BUD-Eco-777,255/40 R19,255,40,19,summer,budget,ev,2339.0,fwd,rear_left,Portugal,Southern Europe,Lisbon,38.62025,-9.22996,mediterranean,rural,2023-01-21,winter,40127.0,8.5,4.53,4.31,4.6,4.48,3.97,0.988,69817.0,29690.0,C,C,73.4,5.89,201.37,2.88,low,0
TYR00005,Bridgestone,BRI-Tour-818,195/65 R15,195,65,15,summer,mid-range,city,1110.0,rwd,rear_left,France,Western Europe,Lyon,45.80246,4.87142,temperate,mountain,2023-02-03,winter,27892.0,7.89,5.29,5.17,5.26,5.1,2.6,0.931,67545.0,39653.0,A,B,73.5,7.29,243.38,3.6,low,0
TYR00006,Goodyear,GOO-Sport-324,255/40 R19,255,40,19,all-season,premium,family,1483.0,fwd,rear_right,Spain,Southern Europe,Madrid,40.3408,-3.73092,mediterranean,mountain,2022-01-10,winter,11506.0,8.84,7.98,7.76,8.09,7.93,0.85,0.741,97602.0,86096.0,E,C,73.2,3.08,314.77,3.22,low,0
TYR00007,Michelin,MIC-Tour-317,205/55 R16,205,55,16,summer,premium,suv,1931.0,rwd,rear_left,Netherlands,Western Europe,Amsterdam,52.43441,4.93265,oceanic,urban,2021-05-14,spring,11514.0,8.42,7.59,7.46,7.57,7.43,0.83,0.724,94278.0,82765.0,D,C,74.8,4.6,293.85,3.12,low,0
TYR00008,Yokohama,YOK-Sport-508,235/45 R18,235,45,18,summer,mid-range,suv,1706.0,fwd,front_right,Norway,Northern Europe,Oslo,59.74334,10.77362,cold,rural,2025-01-16,winter,12034.0,7.24,5.91,5.56,5.98,5.6,1.32,1.1,51240.0,39206.0,B,C,72.2,6.69,271.4,5.3,low,0
TYR00009,Pirelli,PIR-Drive-710,205/55 R16,205,55,16,all-season,premium,ev,1946.0,fwd,front_left,Netherlands,Western Europe,Amsterdam,52.2728,4.82689,oceanic,urban,2020-09-18,autumn,27872.0,8.14,6.8,6.65,6.82,6.52,1.34,0.481,136028.0,108155.0,C,C,72.5,5.94,291.76,2.14,low,0
TYR00010,Yokohama,YOK-Sport-868,235/45 R18,235,45,18,all-season,mid-range,ev,2181.0,awd,rear_left,Spain,Southern Europe,Madrid,40.4296,-3.71329,mediterranean,rural,2019-02-17,winter,39507.0,8.08,4.92,4.77,4.88,4.72,3.16,0.799,81078.0,41571.0,C,A,75.5,5.58,239.09,2.95,low,0
